等级,位置,类型,出处声明,引文,命中文献,命中章节,原文,匹配度,问题,建议,上下文
D,body[118],body,道德经,无为,,,,,未在任何参考文献中找到,,每个想看或者喜欢《道德经》的朋友，不再觉得它是高高在上的‘天书’，而是发现这些经典就在我们身边，每个人只要用心，都能把它读懂、用到生活中。也希望那些对《道德经》有误解的朋友，尤其是误认为‘老子所说的‘〖无为〗’是无欲无求、无所作为’的读者，能通过这本书改变一些想法。希望更多人发现，无论是创业、工作、生活、养育子女还是自身成长，无论我们遇到什么困难，都能从这些经典中获得力量，找到人生的意义与方向。也感谢喜爱【作者解读】引用《道德经》中的核心概念“无为”，并指出常见误解。
D,note[171],note,史记·孔子世家,为人之子，不以己为高；为人之臣，不以己为上,,,,,未在任何参考文献中找到,,1)	“以本为精，以物为粗”出自《庄子·天下》，是庄子对老子学说的概括。意思是把本体（也就是“道”）视为本质和精华，而将具体的万物视为粗浅的表象‌。 ⏎ 2、“〖为人之子，不以己为高；为人之臣，不以己为上〗”出自《史记·孔子世家》，记载的是孔子问礼于老子，老子赠言给孔子的其中一句话。意思是说，为人子女，不应把自己看得太高，尤其是因为自身有所成就或地位就轻视父母，应始终保持恭敬之心，真正的孝道是理解父母的【作者解读】出自《史记·孔子世家》，记载的是孔子问礼于老子，老子赠言给孔子的其中一句话。
D,body[221],body,黄帝内经・灵枢・九针十二原第一,上工守神，下工守形,,,,,未在任何参考文献中找到,,天，说话就是“阳”，听别人说话就是“阴”。有的夫妻感情不好，经常扯筋吵架，肯定就是光顾着自己在说，没听对方说话，怎么能不吵架？ ⏎ 爸爸，我想到《黄帝内经》里面说的“〖上工守神，下工守形〗”，这个“神”摸不着，是“无”的状态；我们“形”这个身体，是“有”的状态。就像古代的书呆子，光晓得读书，不晓得怎么赚钱，最后连饭都没得吃，那就像是光顾养“神”，没顾我们的“形”了。假如我们的形没有物质【作者解读】源自《黄帝内经・灵枢・九针十二原第一》，是后世对原文“粗守形，上守神”的通行化、通俗化表述。上工：医术精湛、高明的医生。粗工（下工）：医术粗浅、低劣的医生。整体意思是，医术高明的医生（上工），则能精准地把握内在的神气、气血与病机。医术粗浅的医生（下工），只能机械地固守外在的形体、症状与刺法。
D,body[231],body,于湖居士文集,以静制动,,,,,未在任何参考文献中找到,,就软了，这就是以弱胜强。再比如你要上电视台唱一首歌，台下很多人都为你鼓掌，这个场面好热闹啊！你肯定需要先安静的练习歌曲，如果你安静不下来，歌曲肯定唱不好；如果唱不好，你又怎能上得了电视台呀？正所谓，“〖以静制动〗”。 ⏎ 爸爸，你如果想让很多人都喜欢你，必须要交际，那就要“和而不流”。什么叫“和而不流”呢？就是外表很圆滑，内心肯定要方正。假如你外表也很圆滑，内心也圆滑，就没有【作者解读】成文出处最早见载南宋·张孝祥《于湖居士文集》，思想源头为《道德经》第二十六章
D,body[243],body,道德经·第四十一章,大方无隅，大器免成，大音希声，大象无形,,,,,未在任何参考文献中找到,,-- ⏎ --	5、“大象无形”出自《道德经·第四十一章》‌。原文是：‌〖大方无隅，大器免成，大音希声，大象无形〗。指出“象”是“道”的显现，而“道”本身无形无相，因此‌最宏大的形象反而没有具体形态‌。“大象无形”揭示了“道”的‌超越性与包容性‌：真正的宏大不在外在张扬，而在内在的无限。【作者解读】出自《道德经·第四十一章》
D,body[247],body,道德经,曲则全，枉则直，洼则盈，敝则新，少则得，多则惑,,,,,未在任何参考文献中找到,,12“曲则全，枉则直，少则得......”你是如何理解的？ ⏎ 爸爸：幺弟，你是如何理解《道德经》里面‌“〖曲则全，枉则直，洼则盈，敝则新，少则得，多则惑〗”这句话的意思的？ ⏎ 幺弟：这句话就是告诉我们，做什么事儿要想着从反面入手，和那个“反者道之动”是一样的道理。弯路就是最直的路，拿最少的反而就会得到最多的，表面看是【作者解读】出自《道德经》
D,body[249],body,道德经,少则得,,,,,未在任何参考文献中找到,,，娃儿就成了留守儿童了，一年只能见一次爸爸妈妈，好可怜嘛！娃儿长大和父母都不亲了，父母还埋怨娃儿。那是不是失去的更多啊？越想得到更多，最后得到的反而更少，这个就是老子告诉我们的话。爸爸，你只要记住了“〖少则得〗”这句话真正的含义，你和妈妈肯定会更加幸福。 ⏎ 注释：【作者解读】出自老子《道德经》第二十二章，作者用此句劝诫减少欲望、节制反而能获得更多。
D,note[251],note,道德经,曲则全，枉则直，洼则盈，敝则新，少则得，多则惑,,,,,未在任何参考文献中找到,,注释： ⏎ 1、‌“〖曲则全，枉则直，洼则盈，敝则新，少则得，多则惑〗”出自老子《道德经》第二十二章（通行本）。曲：弯曲、迂回，不直来直去，引申为懂得变通、隐忍，不逞强好胜；全：保全、完整，指保全自身、达成周全的结果；枉：弯曲、屈枉，引申为暂时承受委屈、隐忍不发；直：伸【作者解读】作者在注释中逐句解释此段经文，并说明其含义：迂回变通、承受屈枉、谦逊低洼、破旧更新、节制少取、贪多迷惑。
D,body[273],body,道德经,天地不仁，以万物为刍狗；圣人不仁，以百姓为刍狗。,,,,,未在任何参考文献中找到,,15“天地不仁，以万物为刍狗”你是如何理解的？ ⏎ 爸爸：“〖天地不仁，以万物为刍狗；圣人不仁，以百姓为刍狗。〗”这句话你是怎么理解啊？ ⏎ 幺弟：爸爸，你要整本的去读，比如老子说，“不言之教，无为之益，天下希及之”不用语言的教化才是最安逸的，天下的人，很少有人知道。老子是说，【作者解读】作者在注释中说明此句出自《道德经》第五章，并解释“刍狗”比喻及“不仁”的哲学含义。
D,note[277],note,道德经,天地不仁，以万物为刍狗；圣人不仁，以百姓为刍狗,,,,,未在任何参考文献中找到,,注释： ⏎ 1、“〖天地不仁，以万物为刍狗；圣人不仁，以百姓为刍狗〗”，出自《道德经》第五章。刍狗是古代祭祀时用草扎成的狗，祭祀前备受珍视，仪式后就会被弃置‌。老子用它来比喻天地与圣人对待万物的态度：没有偏爱、没有情感干预，任其自然生灭和发展。“不仁”并不是说冷酷无情【作者解读】作者解释“不仁”并非冷酷无情，而是超越人类道德偏见的自然和公正，并联系到“无为而治”的智慧。
